source,target,weight
DAAA,S100002,64.3
DAAA,S100003,80.3
DAAA,S100006,85.7
DAAA,S100007,76.1
DAAA,S100008,72.5
DAAA,S100009,83.7
DAAA,S100012,75.4
DAAA,S100014,63.4
DAAA,S100015,86.3
DAAA,S100016,67.9
DAAA,S100017,68.4
DAAA,S100020,78.6
DAAA,S100024,60.1
DAAA,S100025,69.0
DAAA,S100031,65.3
DAAA,S100034,83.1
DAAA,S100035,72.8
DAAA,S100038,83.5
DAAA,S100039,82.4
DAAA,S100064,72.2
DAAA,S100072,62.5
DAAA,S100106,80.8
DAAA,S100117,71.6
DBBB,S100003,83.5
DBBB,S100006,75.3
DBBB,S100007,87.4
DBBB,S100010,72.6
DBBB,S100012,87.1
DBBB,S100015,72.4
DBBB,S100016,72.7
DBBB,S100017,68.8
DBBB,S100019,69.6
DBBB,S100020,72.0
DBBB,S100021,89.2
DBBB,S100023,67.2
DBBB,S100024,78.7
DBBB,S100025,89.4
DBBB,S100026,88.5
DBBB,S100027,79.8
DBBB,S100028,63.8
DBBB,S100029,73.4
DBBB,S100031,78.2
DBBB,S100033,63.4
DBBB,S100035,83.1
DBBB,S100038,64.7
DBBB,S100039,78.5
DBBB,S100091,72.6
DBBB,S100101,67.5
DCCC,S100001,60.7
DCCC,S100003,70.0
DCCC,S100006,72.3
DCCC,S100007,77.8
DCCC,S100008,65.8
DCCC,S100009,72.8
DCCC,S100010,88.7
DCCC,S100011,79.4
DCCC,S100012,74.0
DCCC,S100014,76.6
DCCC,S100016,71.9
DCCC,S100017,79.4
DCCC,S100019,78.0
DCCC,S100021,80.0
DCCC,S100024,65.5
DCCC,S100026,63.5
DCCC,S100027,69.3
DCCC,S100028,66.7
DCCC,S100029,80.9
DCCC,S100032,61.2
DCCC,S100035,72.0
DCCC,S100039,85.0
DCCC,S100065,75.4
DCCC,S100085,60.7
DCCC,S100105,80.3
DCCC,S100107,61.6
DCCC,S100110,71.4
DDDD,S100012,97.8
DDDD,S100023,68.3
DDDD,S100041,68.3
DDDD,S100042,74.3
DDDD,S100043,91.0
DDDD,S100044,69.2
DDDD,S100045,67.1
DDDD,S100046,79.8
DDDD,S100048,73.0
DDDD,S100049,79.9
DDDD,S100050,63.4
DDDD,S100051,68.9
DDDD,S100053,65.1
DDDD,S100054,100.0
DDDD,S100055,66.3
DDDD,S100056,62.0
DDDD,S100057,75.3
DDDD,S100059,79.6
DDDD,S100060,88.7
DDDD,S100065,62.3
DDDD,S100066,88.8
DDDD,S100069,76.5
DDDD,S100070,78.1
DDDD,S100071,79.3
DDDD,S100072,78.0
DDDD,S100073,83.3
DDDD,S100074,74.4
DDDD,S100075,77.7
DDDD,S100076,65.4
DDDD,S100078,75.4
DDDD,S100084,80.2
DEEE,S100001,74.8
DEEE,S100029,69.7
DEEE,S100041,81.8
DEEE,S100042,62.4
DEEE,S100043,94.5
DEEE,S100045,84.8
DEEE,S100046,76.6
DEEE,S100047,95.3
DEEE,S100048,87.2
DEEE,S100049,75.8
DEEE,S100053,61.5
DEEE,S100054,63.8
DEEE,S100055,83.6
DEEE,S100056,62.4
DEEE,S100057,71.5
DEEE,S100058,61.3
DEEE,S100059,69.3
DEEE,S100060,62.3
DEEE,S100061,62.3
DEEE,S100062,87.7
DEEE,S100063,70.2
DEEE,S100064,75.6
DEEE,S100065,63.9
DEEE,S100066,67.5
DEEE,S100067,61.4
DEEE,S100068,71.9
DEEE,S100069,64.5
DEEE,S100070,71.4
DEEE,S100071,67.7
DEEE,S100072,71.8
DEEE,S100074,74.3
DEEE,S100075,90.6
DEEE,S100078,75.5
DEEE,S100079,70.8
DFFF,S100016,74.7
DFFF,S100039,68.0
DFFF,S100079,73.6
DFFF,S100081,83.2
DFFF,S100082,81.3
DFFF,S100083,61.2
DFFF,S100084,78.4
DFFF,S100085,82.6
DFFF,S100086,77.7
DFFF,S100090,91.7
DFFF,S100091,71.6
DFFF,S100092,78.7
DFFF,S100095,65.0
DFFF,S100096,76.9
DFFF,S100097,69.2
DFFF,S100098,64.3
DFFF,S100099,62.0
DFFF,S100100,71.4
DFFF,S100101,78.5
DFFF,S100105,65.8
DFFF,S100106,73.0
DFFF,S100107,68.7
DFFF,S100108,80.6
DFFF,S100113,61.1
DFFF,S100114,78.4
DFFF,S100117,93.9
DFFF,S100120,79.4
DGGG,S100014,100.0
DGGG,S100025,75.4
DGGG,S100034,75.6
DGGG,S100040,67.2
DGGG,S100055,69.4
DGGG,S100081,65.0
DGGG,S100082,92.7
DGGG,S100083,86.1
DGGG,S100084,62.9
DGGG,S100086,80.7
DGGG,S100090,84.2
DGGG,S100091,66.1
DGGG,S100092,83.1
DGGG,S100095,62.3
DGGG,S100096,71.2
DGGG,S100098,68.3
DGGG,S100099,77.7
DGGG,S100100,80.3
DGGG,S100101,68.5
DGGG,S100105,69.8
DGGG,S100106,93.1
DGGG,S100107,65.0
DGGG,S100108,74.6
DGGG,S100109,70.3
DGGG,S100111,65.7
DGGG,S100112,64.7
DGGG,S100114,70.1
DGGG,S100117,81.3
DGGG,S100118,75.9
DGGG,S100120,79.4
