student_id,final_result,planted_group
S100001,Pass,0
S100002,Withdrawn,0
S100003,Distinction,0
S100006,Fail,0
S100007,Fail,0
S100008,Pass,0
S100009,Fail,0
S100010,Withdrawn,0
S100011,Pass,0
S100012,Distinction,0
S100014,Pass,0
S100015,Fail,0
S100016,Withdrawn,0
S100017,Distinction,0
S100019,Pass,0
S100020,Pass,0
S100021,Pass,0
S100023,Pass,0
S100024,Distinction,0
S100025,Pass,0
S100026,Distinction,0
S100027,Fail,0
S100028,Distinction,0
S100029,Pass,0
S100031,Fail,0
S100032,Withdrawn,0
S100033,Fail,0
S100034,Fail,0
S100035,Distinction,0
S100038,Fail,0
S100039,Distinction,0
S100040,Pass,0
S100041,Pass,1
S100042,Pass,1
S100043,Distinction,1
S100044,Distinction,1
S100045,Fail,1
S100046,Distinction,1
S100047,Pass,1
S100048,Pass,1
S100049,Pass,1
S100050,Withdrawn,1
S100051,Pass,1
S100053,Pass,1
S100054,Fail,1
S100055,Distinction,1
S100056,Pass,1
S100057,Fail,1
S100058,Fail,1
S100059,Distinction,1
S100060,Pass,1
S100061,Pass,1
S100062,Distinction,1
S100063,Withdrawn,1
S100064,Distinction,1
S100065,Pass,1
S100066,Pass,1
S100067,Distinction,1
S100068,Withdrawn,1
S100069,Distinction,1
S100070,Pass,1
S100071,Pass,1
S100072,Pass,1
S100073,Withdrawn,1
S100074,Pass,1
S100075,Withdrawn,1
S100076,Pass,1
S100078,Pass,1
S100079,Pass,1
S100081,Pass,2
S100082,Pass,2
S100083,Fail,2
S100084,Distinction,2
S100085,Pass,2
S100086,Pass,2
S100090,Pass,2
S100091,Pass,2
S100092,Distinction,2
S100095,Pass,2
S100096,Fail,2
S100097,Withdrawn,2
S100098,Fail,2
S100099,Pass,2
S100100,Pass,2
S100101,Withdrawn,2
S100105,Distinction,2
S100106,Pass,2
S100107,Distinction,2
S100108,Pass,2
S100109,Fail,2
S100110,Withdrawn,2
S100111,Withdrawn,2
S100112,Withdrawn,2
S100113,Fail,2
S100114,Distinction,2
S100117,Pass,2
S100118,Pass,2
S100120,Pass,2
