node_id,community
S100001,0
S100002,1
S100003,1
S100006,1
S100007,1
S100008,1
S100009,1
S100010,1
S100011,1
S100012,1
S100014,1
S100015,1
S100016,1
S100017,1
S100019,1
S100020,1
S100021,1
S100023,0
S100024,1
S100025,1
S100026,1
S100027,1
S100028,1
S100029,1
S100031,1
S100032,1
S100033,1
S100034,2
S100035,1
S100038,1
S100039,1
S100040,2
S100041,0
S100042,0
S100043,0
S100044,0
S100045,0
S100046,0
S100047,0
S100048,0
S100049,0
S100050,0
S100051,0
S100053,0
S100054,0
S100055,0
S100056,0
S100057,0
S100058,0
S100059,0
S100060,0
S100061,0
S100062,0
S100063,0
S100064,0
S100065,0
S100066,0
S100067,0
S100068,0
S100069,0
S100070,0
S100071,0
S100072,0
S100073,0
S100074,0
S100075,0
S100076,0
S100078,0
S100079,2
S100081,2
S100082,2
S100083,2
S100084,2
S100085,2
S100086,2
S100090,2
S100091,2
S100092,2
S100095,2
S100096,2
S100097,2
S100098,2
S100099,2
S100100,2
S100101,2
S100105,2
S100106,2
S100107,2
S100108,2
S100109,2
S100110,1
S100111,2
S100112,2
S100113,2
S100114,2
S100117,2
S100118,2
S100120,2
