source,target,weight
DAAA,DBBB,5.083333333333333
DAAA,DCCC,4.083333333333334
DAAA,DDDD,0.5833333333333333
DAAA,DEEE,0.8333333333333333
DAAA,DFFF,1.1666666666666665
DAAA,DGGG,1.833333333333333
DBBB,DCCC,6.083333333333333
DBBB,DDDD,0.75
DBBB,DEEE,0.3333333333333333
DBBB,DFFF,1.1666666666666665
DBBB,DGGG,1.0
DCCC,DDDD,0.5833333333333333
DCCC,DEEE,1.1666666666666665
DCCC,DFFF,1.6666666666666665
DCCC,DGGG,1.0
DDDD,DEEE,11.0
DDDD,DFFF,0.3333333333333333
DDDD,DGGG,0.6666666666666666
DEEE,DFFF,0.5
DEEE,DGGG,0.3333333333333333
DFFF,DGGG,9.333333333333332
