source,target,weight
S100001,S100005,1.0
S100001,S100006,1.0
S100001,S100042,1.0
S100001,S100043,1.0
S100001,S100051,1.0
S100001,S100052,1.0
S100001,S100054,1.0
S100001,S100055,1.0
S100001,S100058,1.0
S100001,S100060,1.0
S100001,S100062,1.0
S100001,S100063,1.0
S100001,S100071,1.0
S100001,S100078,1.0
S100001,S100116,1.0
S100002,S100004,1.0
S100002,S100006,1.0
S100002,S100017,1.0
S100002,S100018,1.0
S100002,S100022,1.0
S100002,S100024,1.0
S100002,S100028,1.0
S100002,S100033,1.0
S100002,S100038,1.0
S100002,S100040,1.0
S100002,S100067,1.0
S100002,S100088,1.0
S100002,S100105,1.0
S100002,S100107,1.0
S100003,S100006,1.0
S100003,S100007,1.0
S100003,S100008,1.0
S100003,S100015,1.0
S100003,S100019,1.0
S100003,S100020,1.0
S100003,S100022,1.0
S100003,S100027,1.0
S100003,S100035,1.0
S100003,S100039,1.0
S100003,S100078,1.0
S100004,S100006,1.0
S100004,S100017,1.0
S100004,S100018,1.0
S100004,S100022,1.0
S100004,S100024,1.0
S100004,S100028,1.0
S100004,S100033,1.0
S100004,S100038,1.0
S100004,S100040,1.0
S100004,S100067,1.0
S100004,S100088,1.0
S100004,S100105,1.0
S100004,S100107,1.0
S100005,S100006,1.0
S100005,S100042,1.0
S100005,S100043,1.0
S100005,S100051,1.0
S100005,S100052,1.0
S100005,S100054,1.0
S100005,S100055,1.0
S100005,S100058,1.0
S100005,S100060,1.0
S100005,S100062,1.0
S100005,S100063,1.0
S100005,S100071,1.0
S100005,S100078,1.0
S100005,S100116,1.0
S100006,S100007,2.0
S100006,S100008,1.0
S100006,S100012,1.0
S100006,S100014,1.0
S100006,S100015,1.0
S100006,S100017,1.0
S100006,S100018,1.0
S100006,S100019,1.0
S100006,S100020,1.0
S100006,S100021,1.0
S100006,S100022,2.0
S100006,S100024,2.0
S100006,S100025,1.0
S100006,S100026,1.0
S100006,S100027,1.0
S100006,S100028,1.0
S100006,S100029,1.0
S100006,S100031,1.0
S100006,S100032,1.0
S100006,S100033,1.0
S100006,S100034,1.0
S100006,S100035,1.0
S100006,S100038,1.0
S100006,S100039,1.0
S100006,S100040,1.0
S100006,S100042,1.0
S100006,S100043,1.0
S100006,S100051,1.0
S100006,S100052,1.0
