id_student,code_module,code_presentation,final_result,score_media
100001,CCC,2024J,Pass,60.7
100001,BBB,2024B,Pass,49.3
100001,EEE,2024J,Pass,74.8
100002,AAA,2024J,Withdrawn,64.3
100002,BBB,2024J,Pass,43.9
100002,CCC,2024B,Pass,35.9
100003,BBB,2024J,Distinction,83.5
100003,CCC,2024B,Distinction,70.0
100003,AAA,2024J,Pass,80.3
100004,AAA,2024J,Fail,50.9
100004,BBB,2024J,Withdrawn,37.5
100004,FFF,2024J,Fail,28.9
100005,AAA,2024J,Withdrawn,37.2
100005,BBB,2024J,Withdrawn,23.3
100006,BBB,2024B,Fail,75.3
100006,AAA,2024B,Pass,85.7
100006,CCC,2024J,Pass,72.3
100007,BBB,2024J,Fail,87.4
100007,AAA,2024J,Distinction,76.1
100007,CCC,2024J,Pass,77.8
100008,CCC,2024J,Pass,65.8
100008,BBB,2024B,Pass,58.5
100008,AAA,2024B,Distinction,72.5
100009,CCC,2024B,Fail,72.8
100009,AAA,2024J,Pass,83.7
100010,CCC,2024J,Withdrawn,88.7
100010,BBB,2024B,Distinction,72.6
100011,AAA,2024J,Pass,58.4
100011,CCC,2024B,Withdrawn,79.4
100011,BBB,2024J,Withdrawn,40.9
100012,BBB,2024B,Distinction,87.1
100012,CCC,2024J,Pass,74.0
100012,AAA,2024J,Fail,75.4
100012,DDD,2024J,Pass,97.8
100013,AAA,2024B,Fail,50.3
100013,CCC,2024B,Fail,53.9
100013,BBB,2024J,Pass,29.3
100013,GGG,2024B,Withdrawn,12.3
100014,AAA,2024J,Pass,63.4
100014,CCC,2024J,Pass,76.6
100014,GGG,2024J,Fail,100
100015,AAA,2024J,Fail,86.3
100015,BBB,2024J,Pass,72.4
100016,BBB,2024J,Withdrawn,72.7
100016,CCC,2024J,Distinction,71.9
100016,AAA,2024J,Pass,67.9
100016,FFF,2024J,Pass,74.7
100017,AAA,2024B,Distinction,68.4
100017,CCC,2024B,Distinction,79.4
100017,BBB,2024J,Pass,68.8
100018,BBB,2024J,Pass,31.8
100018,CCC,2024B,Withdrawn,44.1
100018,AAA,2024J,Withdrawn,42.4
100018,DDD,2024B,Fail,54.0
100019,CCC,2024J,Pass,78.0
100019,BBB,2024J,Distinction,69.6
100020,CCC,2024B,Pass,47.8
100020,AAA,2024B,Withdrawn,78.6
100020,BBB,2024J,Fail,72.0
100020,FFF,2024B,Pass,48.5
100021,CCC,2024J,Pass,80.0
100021,AAA,2024J,Pass,58.3
100021,BBB,2024B,Fail,89.2
100021,EEE,2024B,Pass,59.3
100022,BBB,2024J,Pass,57.2
100022,CCC,2024J,Withdrawn,43.4
100023,BBB,2024B,Pass,67.2
100023,AAA,2024B,Pass,28.1
100023,CCC,2024J,Fail,51.5
100023,DDD,2024B,Withdrawn,68.3
100024,BBB,2024J,Distinction,78.7
100024,CCC,2024B,Pass,65.5
100024,AAA,2024B,Pass,60.1
100025,BBB,2024J,Pass,89.4
100025,AAA,2024J,Distinction,69.0
100025,GGG,2024B,Distinction,75.4
100026,CCC,2024B,Distinction,63.5
100026,BBB,2024J,Pass,88.5
100027,CCC,2024J,Fail,69.3
100027,BBB,2024B,Pass,79.8
100028,CCC,2024J,Distinction,66.7
100028,BBB,2024B,Pass,63.8
100029,CCC,2024J,Pass,80.9
100029,BBB,2024J,Pass,73.4
100029,EEE,2024J,Pass,69.7
100030,AAA,2024J,Fail,34.5
100030,BBB,2024J,Withdrawn,23.8
100030,GGG,2024B,Withdrawn,54.8
100031,CCC,2024B,Fail,52.9
100031,BBB,2024B,Fail,78.2
100031,AAA,2024B,Pass,65.3
100032,BBB,2024B,Withdrawn,40.0
100032,CCC,2024J,Fail,61.2
100032,AAA,2024B,Pass,53.6
100032,EEE,2024B,Withdrawn,29.6
